Comment,Designator,Footprint,LCSC Part #
LVT125,"U7,U5,U6",TSSOP-14,C7042
20uF,"C3,C4",1206,C5672
AMS1117-2.85,U3,SOT-223,C14791
0.1uF,"C2,C5,C8,C14,C9,C11,C13",805,C28233
4.7uF,"C6,C12,C7,C15,C10",805,C1779
D,D1,SMA,C2480
1k,"R42,R54,R16,R50,R17,R13,R45,R18,R47,R53,R15,R43,R49,R55,R12,R51,R19,R14,R52,R11,R44,R46,R48",402,C11702
SN74CBTD3384,"U2,U1",TSSOP-24,C7155
R,"R39,R4,R33,R36,R5,R35,R1,R38,R9,R40,R3,R7,R8,R2,R10,R34,R37,R6",402,C141676
ACT_LED,D2,603,C72041
PWR_LED,D3,603,C2290
4.7k,"R56,R31,R32,R41",603,C23162
LVT245,"U4,U9",TSSOP-20,C74214
74HC14,U8,402,C5605
470,R30,402,C25117
1k,"R27,R24,R26,R23,R25,R29,R28",603,C21190
MicroSD-TF-06,SD2,MicroSD,C693844
SW_MEC_5E,SW1,Button,C318884
Polyfuse,F2,805,C883111
