Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uF,C_0402_1005Metric,56.5,16.1,180.0,top
C10,0.1uF,C_0402_1005Metric,11.75,4.25,0.0,top
C11,0.1uF,C_0402_1005Metric,11.73,-4.18,0.0,top
C12,0.1uF,C_0402_1005Metric,13.73,-4.18,180.0,top
C13,0.1uF,C_0402_1005Metric,15.825,-4.18,180.0,top
C14,0.1uF,C_0402_1005Metric,13.925,4.25,0.0,top
C15,0.1uF,C_0402_1005Metric,15.805,4.25,180.0,top
C16,0.1uF,C_0402_1005Metric,30.83,-31.5,180.0,top
C17,4.7uF,C_0603_1608Metric,48.8,-2.25,90.0,top
C18,0.1uF,C_0402_1005Metric,48.8,-5.85,-90.0,top
C19,4.7uF,C_0603_1608Metric,52.8,18.15,0.0,top
C2,0.1uF,C_0402_1005Metric,22.335,-10.08,180.0,top
C20,4.7uF,C_0603_1608Metric,52.95,15.55,0.0,top
C21,4.7uF,C_0603_1608Metric,52.8,13.15,0.0,top
C22,20uF,C_0603_1608Metric,52.85,10.5,180.0,top
C23,0.1uF,C_0402_1005Metric,35.05,22.3,-90.0,top
C24,4.7uF,C_0603_1608Metric,32.55,22.3,-90.0,top
C25,10u 6.3V,C_0402_1005Metric,36.75,1.395,90.0,top
C26,10u 6.3V,C_0402_1005Metric,35.475,-0.65,90.0,top
C27,2.2u 6.3V,C_0402_1005Metric,50.775,-12.7,90.0,top
C28,0.1uF,C_0402_1005Metric,44.475,-12.65,0.0,top
C29,0.1uF,C_0402_1005Metric,47.875,-5.95,0.0,top
C3,4.7uF,C_0603_1608Metric,27.325,-10.35,0.0,top
C30,0.1uF,C_0402_1005Metric,47.875,-1.65,0.0,top
C31,2.2u 6.3V,C_0402_1005Metric,47.725,-2.75,0.0,top
C32,2.2u 6.3V,C_0402_1005Metric,47.875,-5.95,0.0,top
C33,0.1uF,C_0402_1005Metric,49.625,-2.7,0.0,top
C34,0.1uF,C_0402_1005Metric,49.9515,-1.7,0.0,top
C35,0.1uF,C_0402_1005Metric,49.05,-8.65,0.0,top
C36,0.1uF,C_0402_1005Metric,47.005,-12.55,0.0,top
C37,0.1uF,C_0402_1005Metric,50.775,-11.15,0.0,top
C38,2.2u 6.3V,C_0402_1005Metric,59.2,-17.0,90.0,top
C39,0.1uF,C_0402_1005Metric,59.15,-15.05,90.0,top
C4,0.1uF,C_0402_1005Metric,44.795,-23.775,0.0,top
C40,15p,C_0603_1608Metric,18.33,26.41,0.0,top
C41,1n 25V,C_0402_1005Metric,32.4,-25.45,0.0,top
C42,15p,C_0603_1608Metric,18.33,23.9,0.0,top
C5,0.1uF,C_0402_1005Metric,29.65,-24.85,180.0,top
C6,0.1uF,C_0402_1005Metric,22.335,-18.725,180.0,top
C7,4.7uF,C_0603_1608Metric,27.325,-18.975,0.0,top
C8,20uF,C_0603_1608Metric,9.225,-4.45,180.0,top
C9,20uF,C_0603_1608Metric,9.3,4.52,180.0,top
D1,LED,LED_0805_2012Metric,38.275,-18.4,0.0,top
D2,LED,LED_0805_2012Metric,41.456052,-18.038609,0.0,top
D3,Schottky Diode,D_SOD-123,52.7,20.5,180.0,top
D4,Schottky Diode,D_SOD-123,43.0,21.6,180.0,top
D5,Schottky Diode,D_SOD-123,51.4,-4.8,90.0,top
D6,Green,LED_0805_2012Metric,34.875,-18.45,180.0,top
D7,Red,LED_0805_2012Metric,31.475,-18.45,180.0,top
F1,Polyfuse,Fuse_0805_2012Metric_Pad1.15x1.40mm_HandSolder,43.2,24.65,180.0,top
F2,Polyfuse,Fuse_0805_2012Metric_Pad1.15x1.40mm_HandSolder,38.9,24.6,180.0,top
J10,BergFloppy,BergFloppy_RightAngle,58.9035,-8.6114,90.0,top
J12,USB_C_Receptacle_USB2.0,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,59.015,3.0,90.0,top
J14,Debug,PinHeader_1x03_P2.54mm_Vertical,52.548959,-12.776041,135.0,top
J3,DB25_Plug_MountingHoles,DSUB-25_Male_EdgeMount_P2.77mm,2.0,-0.0,-90.0,top
J4,SM04B-SRSS-TB(LF)(SN),JST_SM04B-SRSS-TB(LF)(SN),59.425,12.6,90.0,top
J5,Conn_01x03_Male,PinHeader_1x03_P2.54mm_Vertical,56.423959,20.076041,45.0,top
Q1,AO3401A,SOT-23,17.625,-10.4125,90.0,top
Q2,AO3401A,SOT-23,17.575,10.4125,-90.0,top
