Comment,Designator,Footprint,LCSC,Quantity
1k,"R1,R2,R3,R4,R58,R79,R80,R81,R82,R83,R84,R85,R86,R87,R88,R89,R9,R90,R91,R92,R93,R94,R95,R96",R_0402_1005Metric,C11702,24
2.2u 6.3V,"C27,C31,C32,C38",C_0402_1005Metric,C12530,4
AMS1117-2.85,U10,SOT-223-3_TabPin2,C14791,1
AO3401A,"Q1,Q2",SOT-23,C15127,2
SM04B-SRSS-TB(LF)(SN),J4,JST_SM04B-SRSS-TB(LF)(SN),C160404,1
15p,"C40,C42",C_0603_1608Metric,C1644,2
USB_C_Receptacle_USB2.0,J12,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,C165948,1
4.7uF,"C17,C22,C3,C7,C8",C_0603_1608Metric,C1705,5
RP2040,U13,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,C2040,1
12MHz,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C20625731,1
110,"R28,R29,R30,R31,R32,R33,R34,R35,R36,R37,R38,R39,R40,R41,R42,R43,R44,R45",R_0603_1608Metric,C22781,18
LED,"D1,D2,D6",LED_0805_2012Metric,C2297,3
4.7k,"R22,R23,R25,R46,R5,R7",R_0603_1608Metric,C23162,6
150,R26,R_0402_1005Metric,C25082,1
1R,R52,R_0402_1005Metric,C25086,1
200R,R50,R_0402_1005Metric,C25087,1
27R,"R56,R57",R_0402_1005Metric,C25100,2
330,R27,R_0402_1005Metric,C25104,1
470,"R24,R53,R54",R_0402_1005Metric,C25117,3
10k,R51,R_0402_1005Metric,C25744,1
5.1k,"R47,R48",R_0402_1005Metric,C25905,2
5.6k,R49,R_0402_1005Metric,C25908,1
LVT125,"U1,U2,U3,U4",TSSOP-14_4.4x5mm_P0.65mm,C2675577,4
W25Q16JVUXIQ,U12,Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm,C2843335,1
0.1uF,"C1,C10,C11,C12,C13,C14,C15,C16,C18,C2,C21,C23,C28,C29,C30,C33,C34,C35,C36,C37,C39,C4,C43,C5,C6",C_0402_1005Metric,C307331,25
SCSI Reset,"SW1,SW2,SW3",SW_Push_1P1T_XKB_TS-1187A,C318884,3
Micro SD Card,SD1,microSD_HC_Molex_104031-0811,C585350,1
AMS1117-3.3,U11,SOT-223-3_TabPin2,C6186,1
74HC14,U5,TSSOP-14_4.4x5mm_P0.65mm,C6821,1
LVT245,"U6,U7,U8,U9",TSSOP-20_4.4x6.5mm_P0.65mm,C74214,4
SCSI Connector,J3,DSUB-25_Male_EdgeMount_P2.77mm,C75745,1
Red,D7,LED_0805_2012Metric,C84256,1
Schottky Diode,"D3,D4,D8,D9",D_SOD-123,C8598,4
Polyfuse,"F1,F3,F4,F5",Fuse_0805_2012Metric_Pad1.15x1.40mm_HandSolder,C883111,4
25V 10uF,"C19,C20,C24,C25,C26,C9",C_0603_1608Metric,C96446,6
SolderJumper_2_Open,JP2,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,,1
MountingHole,H3,MountingHole_2.2mm_M2,,1
MountingHole,H1,MountingHole_2.2mm_M2,,1
SolderJumper_2_Open,JP1,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,,1
MountingHole,H2,MountingHole_2.2mm_M2,,1
ACK_En,J1,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,,1
NO-FIT,R55,R_0402_1005Metric,,1
Conn_01x03_Male,J13,SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm,,1
Debug,J14,PinHeader_1x03_P2.54mm_Vertical_SMD_Pin1Left,,1
BergFloppy,J10,BergFloppy_RightAngle,,1
Conn_01x03_Male,J6,SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm,,1
Conn_01x03_Male,J5,PinHeader_1x03_P2.54mm_Vertical_SMD_Pin1Left,,1
MountingHole,H4,MountingHole_2.2mm_M2,,1
