Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uF,C_0402_1005Metric,28.42,-1.99,0.0,top
C10,0.1uF,C_0402_1005Metric,11.4,4.2,180.0,top
C11,0.1uF,C_0402_1005Metric,23.0,-14.88,90.0,top
C12,0.1uF,C_0402_1005Metric,39.85,9.22,0.0,top
C13,0.1uF,C_0402_1005Metric,17.5375,1.85,180.0,top
C14,0.1uF,C_0402_1005Metric,15.99,12.98,-90.0,top
C15,0.1uF,C_0402_1005Metric,30.9,10.0,180.0,top
C16,0.1uF,C_0402_1005Metric,30.96,15.91,0.0,top
C17,4.7uF,C_0402_1005Metric,28.45,-5.81,-90.0,top
C18,0.1uF,C_0402_1005Metric,28.42,-3.02,180.0,top
C19,10uF,C_0402_1005Metric,28.54,-11.86,180.0,top
C2,0.1uF,C_0402_1005Metric,17.5,-6.2125,180.0,top
C20,10uF,C_0402_1005Metric,28.54,-10.815,180.0,top
C21,0.1uF,C_0402_1005Metric,29.17,7.94,0.0,top
C22,4.7uF,C_0402_1005Metric,27.13,-10.21,-90.0,top
C23,0.1uF,C_0402_1005Metric,28.54,-9.77,0.0,top
C24,10uF,C_0402_1005Metric,13.345,4.2,0.0,top
C25,10uF,C_0402_1005Metric,30.05,-4.23,0.0,top
C26,10uF,C_0402_1005Metric,28.13,-4.23,180.0,top
C27,2.2u 6.3V,C_0402_1005Metric,35.0,-2.61,-90.0,top
C28,0.1uF,C_0402_1005Metric,32.0,-2.61,-90.0,top
C29,0.1uF,C_0402_1005Metric,37.37,-1.83,0.0,top
C3,4.7uF,C_0402_1005Metric,19.46,-6.2125,0.0,top
C30,0.1uF,C_0402_1005Metric,39.89,4.508334,0.0,top
C31,2.2u 6.3V,C_0402_1005Metric,39.89,-0.29833,0.0,top
C32,2.2u 6.3V,C_0402_1005Metric,39.89,0.893336,0.0,top
C33,0.1uF,C_0402_1005Metric,37.3,8.17,0.0,top
C34,0.1uF,C_0402_1005Metric,33.33,8.17,180.0,top
C35,0.1uF,C_0402_1005Metric,28.36,3.79,90.0,top
C36,0.1uF,C_0402_1005Metric,28.35,1.69,-90.0,top
C37,0.1uF,C_0402_1005Metric,39.89,5.7,0.0,top
C38,2.2u 6.3V,C_0402_1005Metric,48.89,-1.19,0.0,top
C39,0.1uF,C_0402_1005Metric,48.89,-2.19,0.0,top
C4,0.1uF,C_0402_1005Metric,13.02,-13.04,0.0,top
C40,15p,C_0402_1005Metric,27.26,6.48,0.0,top
C42,15p,C_0402_1005Metric,25.43,-0.0,180.0,top
C43,0.1uF,C_0402_1005Metric,30.05,-6.28,180.0,top
C5,0.1uF,C_0402_1005Metric,13.12,14.673334,0.0,top
C6,0.1uF,C_0402_1005Metric,17.5375,-14.3,180.0,top
C7,4.7uF,C_0402_1005Metric,19.46,-14.3,0.0,top
C8,4.7uF,C_0402_1005Metric,15.29,4.2,0.0,top
C9,10uF,C_0402_1005Metric,13.3,-4.1,0.0,top
D1,LED,LED_0805_2012Metric,48.21,12.32,180.0,top
D2,LED,LED_0805_2012Metric,48.25,14.92,180.0,top
D3,Schottky Diode,D_SOD-323,28.54,-14.045,90.0,top
D8,Schottky Diode,D_SOD-323,32.02,-5.19,-90.0,top
D9,Schottky Diode,D_SOD-323,27.83,-7.72,180.0,top
F1,Polyfuse,Fuse_0805_2012Metric_Pad1.15x1.40mm_HandSolder,25.58,-14.8,0.0,top
F3,Polyfuse,Fuse_0805_2012Metric_Pad1.15x1.40mm_HandSolder,34.91,-5.87,0.0,top
F5,Polyfuse,Fuse_0805_2012Metric_Pad1.15x1.40mm_HandSolder,13.97,-15.02,180.0,top
J12,USB_C_Receptacle_USB2.0,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,44.64,5.42,90.0,top
J3,SCSI Connector,DSUB-25_Male_EdgeMount_P2.77mm,2.0,-0.0,-90.0,top
J4,SM04B-SRSS-TB(LF)(SN),JST_SM04B-SRSS-TB(LF)(SN),46.97,-9.565,270.0,bottom
Q1,AO3401A,SOT-23,10.07,-14.265,180.0,top
Q2,AO3401A,SOT-23,10.07,14.33,180.0,top
R1,1k,R_0402_1005Metric,39.89,-1.5,0.0,top
R2,1k,R_0402_1005Metric,27.26,5.43,180.0,top
R22,4.7k,R_0402_1005Metric,27.37,-0.0,180.0,top
R23,4.7k,R_0402_1005Metric,27.37,-1.0,0.0,top
R24,470,R_0402_1005Metric,46.04,12.32,90.0,top
R25,4.7k,R_0402_1005Metric,46.04,14.92,-90.0,top
R27,330,R_0402_1005Metric,39.86,10.22,180.0,top
R28,110,R_0603_1608Metric,6.1,0.930592,180.0,top
R29,110,R_0603_1608Metric,6.1,-13.438816,180.0,top
R30,110,R_0603_1608Metric,6.1,2.726768,180.0,top
R31,110,R_0603_1608Metric,6.1,-11.64264,180.0,top
R32,110,R_0603_1608Metric,6.1,4.522944,180.0,top
R33,110,R_0603_1608Metric,6.1,-9.846464,180.0,top
R34,110,R_0603_1608Metric,6.1,6.31912,180.0,top
R35,110,R_0603_1608Metric,6.1,-8.050288,180.0,top
R36,110,R_0603_1608Metric,6.1,8.115296,180.0,top
R37,110,R_0603_1608Metric,6.1,-6.254112,180.0,top
R38,110,R_0603_1608Metric,6.1,9.911472,180.0,top
R39,110,R_0603_1608Metric,6.1,-4.457936,180.0,top
R4,1k,R_0402_1005Metric,35.58,-4.36,180.0,top
R40,110,R_0603_1608Metric,6.1,11.707648,180.0,top
R41,110,R_0603_1608Metric,6.1,-2.66176,180.0,top
R42,110,R_0603_1608Metric,6.1,13.503824,180.0,top
R43,110,R_0603_1608Metric,6.1,-0.865584,180.0,top
R44,110,R_0603_1608Metric,6.1,-15.235,180.0,top
R45,110,R_0603_1608Metric,6.1,15.3,180.0,top
R46,4.7k,R_0402_1005Metric,13.12,13.636668,0.0,top
R47,5.1k,R_0402_1005Metric,39.89,8.1,0.0,top
R48,5.1k,R_0402_1005Metric,39.89,6.9,180.0,top
R49,5.6k,R_0402_1005Metric,31.0,-2.61,90.0,top
R5,4.7k,R_0402_1005Metric,25.3,7.5,0.0,top
R50,200R,R_0402_1005Metric,33.0,-2.61,-90.0,top
R51,10k,R_0402_1005Metric,30.0,-2.61,-90.0,top
R52,1R,R_0402_1005Metric,34.0,-2.61,90.0,top
R55,NO-FIT,R_0402_1005Metric,42.6,-1.6,0.0,top
R56,27R,R_0402_1005Metric,39.89,3.306668,180.0,top
R57,27R,R_0402_1005Metric,39.89,2.095002,180.0,top
R58,1k,R_0402_1005Metric,42.6,-0.6,180.0,top
R7,4.7k,R_0402_1005Metric,19.49,1.85,180.0,top
R79,1k,R_0402_1005Metric,25.3,6.48,0.0,top
R80,1k,R_0402_1005Metric,25.33,5.43,0.0,top
R81,1k,R_0402_1005Metric,19.33,14.46,-90.0,top
R82,1k,R_0402_1005Metric,30.95,11.0,0.0,top
R83,1k,R_0402_1005Metric,30.96,12.0,180.0,top
R84,1k,R_0402_1005Metric,21.02,14.48,-90.0,top
R85,1k,R_0402_1005Metric,25.23,-8.5,180.0,top
R86,1k,R_0402_1005Metric,30.9,9.0,0.0,top
R87,1k,R_0402_1005Metric,25.23,-9.5,180.0,top
R88,1k,R_0402_1005Metric,25.23,-10.5,180.0,top
R89,1k,R_0402_1005Metric,25.23,-11.5,180.0,top
R9,1k,R_0402_1005Metric,21.41,-14.31,180.0,top
R90,1k,R_0402_1005Metric,30.96,14.0,180.0,top
R91,1k,R_0402_1005Metric,25.23,-12.5,180.0,top
R92,1k,R_0402_1005Metric,25.23,-1.0,180.0,top
R93,1k,R_0402_1005Metric,25.23,-2.0,180.0,top
R94,1k,R_0402_1005Metric,30.93,13.0,180.0,top
R95,1k,R_0402_1005Metric,25.23,-3.0,180.0,top
R96,1k,R_0402_1005Metric,25.23,-4.0,180.0,top
SD1,Micro SD Card,microSD_HC_Molex_104031-0811,43.395,-9.565,-90.0,top
SW1,SCSI Reset,SW_Push_1P1T_XKB_TS-1187A,10.58,9.435,0.0,bottom
SW2,USB Boot,SW_Push_1P1T_XKB_TS-1187A,40.15,-5.09,180.0,bottom
SW3,RP2040 Reset,SW_Push_1P1T_XKB_TS-1187A,44.76,13.6,0.0,bottom
U1,LVT125,TSSOP-14_4.4x5mm_P0.65mm,20.4,10.72,180.0,top
U10,AMS1117-2.85,SOT-223-3_TabPin2,12.0,-0.0,180.0,top
U11,AMS1117-3.3,SOT-223-3_TabPin2,33.15,-12.0,90.0,top
U12,W25Q16JVUXIQ,Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm,45.8,-1.4,0.0,top
U13,RP2040,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,34.1825,3.0,-90.0,top
U2,LVT125,TSSOP-14_4.4x5mm_P0.65mm,20.4,5.13,180.0,top
U3,LVT125,TSSOP-14_4.4x5mm_P0.65mm,34.76,12.52,90.0,top
U4,LVT125,TSSOP-14_4.4x5mm_P0.65mm,27.16,12.52,-90.0,top
U5,74HC14,TSSOP-14_4.4x5mm_P0.65mm,41.5875,13.62,180.0,top
U6,LVT245,TSSOP-20_4.4x6.5mm_P0.65mm,20.4,-2.175,180.0,top
U7,LVT245,TSSOP-20_4.4x6.5mm_P0.65mm,12.0,8.5,180.0,top
U8,LVT245,TSSOP-20_4.4x6.5mm_P0.65mm,12.0,-8.5,180.0,top
U9,LVT245,TSSOP-20_4.4x6.5mm_P0.65mm,20.4,-10.25,180.0,top
Y1,12MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,26.04,2.62,90.0,top
